"Signature","Early_median","Late_median","Log2FC","P_value","P_adj"
"SBS1",1.72343106245781,2.3660270037684,-0.457182720275683,0.0136330950018474,0.349916105047417
"SBS2",0.282766852378545,0.856534852722398,-1.59889552486509,0.0396631229290932,0.436294352220025
"SBS3",0,0,0,0.487268147521314,0.784421137826942
"SBS4",0,0,0,0.746383749472743,0.912080571318125
"SBS5",0,0,0,NA,NA
"SBS6",0,0,0,0.415615875422575,0.779510594924685
"SBS7a",0,0,0,0.758092942394286,0.912080571318125
"SBS7b",0,0,0,0.380144290498163,0.779510594924685
"SBS7c",0,0,0,0.650509612998345,0.834820670014543
"SBS7d",0,0,0,0.150953421383013,0.779510594924685
"SBS8",0,0,0,0.990312035197717,0.998244725839578
"SBS9",0,0,0,0.535217843252236,0.784421137826942
"SBS10a",0,0,0,0.991081092999002,0.998244725839578
"SBS10b",0.32572251904098,0.623657070051047,-0.937107372450396,0.209055948912145,0.779510594924685
"SBS10c",0,0,0,0.774558743957975,0.917554204380985
"SBS10d",0,0,0,0.0974069378555254,0.681848564988678
"SBS11",0,0,0,0.549726878047484,0.784421137826942
"SBS12",0,0,0,0.510522999747382,0.784421137826942
"SBS13",1.18715872193607,1.13612387626102,0.0633926337775637,0.900967735362935,0.97710585384431
"SBS14",0,0,0,0.598034088564313,0.819890659697715
"SBS15",0.0141121030590679,0,13.7847476088551,0.363808702884344,0.779510594924685
"SBS16",0,0,0,0.425187597231646,0.779510594924685
"SBS17a",0,0,0,0.541368632804521,0.784421137826942
"SBS17b",0,0,0,0.321047724830029,0.779510594924685
"SBS18",0,0,0,0.896642880326445,0.97710585384431
"SBS19",0,0,0,0.219377249797141,0.779510594924685
"SBS20",0,0,0,0.232829306140875,0.779510594924685
"SBS21",0,0,0,0.94123686585895,0.985742766266116
"SBS22",0,0,0,0.150067129138289,0.779510594924685
"SBS23",0,0,0,0.56030081273353,0.784421137826942
"SBS24",0,0,0,0.501833081819093,0.784421137826942
"SBS25",0,0,0,0.830486337495825,0.954439522196695
"SBS26",0,0,0,0.132646716564308,0.779510594924685
"SBS27",0,0,0,0.6221476616085,0.819890659697715
"SBS28",0,0,0,0.253518232856899,0.779510594924685
"SBS29",0,0,0,0.735819952233183,0.912080571318125
"SBS30",0,0,0,0.0131270438586943,0.349916105047417
"SBS31",0,0,0,0.998244725839578,0.998244725839578
"SBS32",0,0,0,0.857806278232087,0.957262078606822
"SBS33",0,0,0,0.187871792033512,0.779510594924685
"SBS34",0,0,0,0.0263913793145537,0.436294352220025
"SBS35",0,0,0,0.338031726120439,0.779510594924685
"SBS36",0,0,0,0.940488638148293,0.985742766266116
"SBS37",0,0,0,0.336589953782916,0.779510594924685
"SBS38",0,0,0,0.0291134508422541,0.436294352220025
"SBS39",0,0,0,0.300277688201155,0.779510594924685
"SBS40",0,0,0,0.628227908080067,0.819890659697715
"SBS41",0,0,0,0.947337203944059,0.985742766266116
"SBS42",0,0,0,0.36963886555397,0.779510594924685
"SBS43",0,0,0,0.353161346973802,0.779510594924685
"SBS44",0,0,0,0.245268328264147,0.779510594924685
"SBS45",0,0,0,0.556638889462731,0.784421137826942
"SBS46",0,0,0,0.523598950508967,0.784421137826942
"SBS47",0,0,0,0.844206348576325,0.955939541770251
"SBS48",0,0,0,0.789330141701856,0.920885165318833
"SBS49",0,0,0,0.384611479393274,0.779510594924685
"SBS50",0,0,0,0.454774632508967,0.784421137826942
"SBS51",0,0,0,0.408558230437774,0.779510594924685
"SBS52",0,0,0,0.245927375728905,0.779510594924685
"SBS53",0,0,0,0.299656940613465,0.779510594924685
"SBS54",0,0.0117350924441013,-13.5186645196919,0.00308415807690073,0.237480171921357
"SBS55",0,0,0,0.0630775257272174,0.539663275666194
"SBS56",0,0,0,0.28145555615698,0.779510594924685
"SBS57",0,0,0,0.088229138068417,0.679364363126811
"SBS58",0,0,0,0.503978760335802,0.784421137826942
"SBS59",0,0,0,0.327491146021269,0.779510594924685
"SBS60",0,0,0,0.0604800318315917,0.539663275666194
"SBS84",0,0,0,0.329846841267568,0.779510594924685
"SBS85",0,0,0,0.452587457265906,0.784421137826942
"SBS86",0,0,0,0.386960245130848,0.779510594924685
"SBS87",0.317567847179092,0.519120260287183,-0.709002179473146,0.261462701002534,0.779510594924685
"SBS88",0,0,0,0.0350834149903283,0.436294352220025
"SBS89",0,0,0,0.40093938816227,0.779510594924685
"SBS90",0,0,0,0.421703920973952,0.779510594924685
"SBS91",0,0,0,0.459725767760002,0.784421137826942
"SBS92",0,0,0,0.628227908080067,0.819890659697715
"SBS93",0,0,0,0.702117805349882,0.886279852654769
"SBS94",0,0,0,0.159379940274697,0.779510594924685
"SBS95",0,0,0,NA,NA
